,latitude,longitude,ts,temperature,pressure,humidity,WSX,WSY,weather,PM2.5,station_id
0,0.5829203268641581,0.17556953347605345,0.0,0.7188514909949809,0.6536014775292405,0.5217194570135747,0.5874827185147798,0.4171980495123782,0.0,156.25,1001.0
0,0.5829203268641581,0.17556953347605345,0.0027472527472527475,0.6228963684676706,0.7380805800670306,0.2316742081447964,0.34857029998463884,0.6723555888972244,0.0,24.83333333333333,1001.0
0,0.5829203268641581,0.17556953347605345,0.005494505494505495,0.6286536758193092,0.7065120733292294,0.2719457013574661,0.4777205995303826,0.5038447111777945,0.0,72.58333333333333,1001.0
0,0.5829203268641581,0.17556953347605345,0.008241758241758242,0.5566873339238264,0.7589780422737507,0.12262443438914031,0.3354363712172749,0.6878282070517631,0.0,30.04347826086957,1001.0
0,0.5829203268641581,0.17556953347605345,0.01098901098901099,0.5729997047534693,0.7571995348519052,0.16968325791855207,0.6246955166889773,0.4458927231807953,0.0,23.08333333333333,1001.0
0,0.5829203268641507,0.1755695334760163,0.013736263736263736,0.5355772069678182,0.6980641630754445,0.3705882352941177,0.703811801882859,0.4495498874718681,0.0,67.75,1001.0
0,0.5829203268641507,0.1755695334760163,0.019230769230769232,0.7305580159433127,0.7069567001846887,0.2972850678733032,0.7611007483157411,0.19849962490622672,0.0625,67.9090909090909,1001.0
0,0.5829203268641581,0.17556953347605345,0.02197802197802198,0.6526424564511368,0.72385252069225,0.41538461538461546,0.8254569992758235,0.2810390097524383,0.125,79.54166666666667,1001.0
0,0.5829203268641581,0.17556953347605345,0.024725274725274724,0.6382491880720402,0.7376359532115714,0.4262443438914028,0.8026289802277865,0.3966616654163542,0.125,61.875,1001.0
0,0.5829203268641581,0.17556953347605345,0.027472527472527472,0.5238957137905804,0.6447862668296458,0.8249262246704703,0.6415412079340743,0.5311817084705961,0.3125,28.66666666666667,1001.0
0,0.5829203268641581,0.17556953347605345,0.03021978021978022,0.7130941836433423,0.5784595389561538,0.5067873303167421,0.4186179200772455,0.26219054763690935,0.0,33.75,1001.0
0,0.5829203268641581,0.17556953347605345,0.03296703296703297,0.8013728963684676,0.5709008824132957,0.2796380090497738,0.5008613311681187,0.5027194298574645,0.0,60.375,1001.0
